Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
479133,234716,2,1/26/26,NYCT Subway,delays,R,R trains are running with delays in both directions.,"What's Happening?

Winter storm.

Please use caution while traveling."
479315,234716,4,1/26/26,NYCT Subway,severe-delays,R,R trains are running with severe delays in both directions.,"What's Happening?

We're recovering from the winter storm."
479375,234716,5,1/26/26,NYCT Subway,delays,R,R trains are running with delays in both directions.,"What's Happening?

We're recovering from the winter storm."
479380,234716,6,1/26/26,NYCT Subway,delays,R,"Downtown R trains are running with severe delays.
Uptown R trains are running with delays.","What's Happening?
We're recovering from the winter storm."
478273,234399,1,1/23/26,NYCT Subway,delays,D | N | R,Uptown D/N/R trains are running with delays after the FDNY responded to a report of smoke near 4 Av/9 St.,Uptown R trains have resumed making local stops from 36 St (BKLYN) to Atlantic Av-Barclays Ctr.
478284,234399,2,1/23/26,NYCT Subway,delays,D | N | R,Uptown D/N/R trains are running with delays after the FDNY responded to a report of smoke near 4 Av/9 St.,Uptown R trains have resumed making local stops from 36 St (BKLYN) to Atlantic Av-Barclays Ctr.
478217,234360,3,1/23/26,NYCT Subway,stops-skipped,R,"Bay Ridge-95 St-bound R trains are running express from Atlantic Av-Barclays Ctr to 59 St.

Expect R delays in both directions.","What's Happening?
 
We are removing debris from the track that caused a train's brakes to activate at 25 St.
For service to/from bypassed stops, take an uptown train.
Expect delays on Coney Island-Stillwell Av-bound D/N trains while tracks are shared."
478218,234360,4,1/23/26,NYCT Subway,stops-skipped | delays,D | N | R,"Bay Ridge-95 St-bound R trains are running express from Atlantic Av-Barclays Ctr to 59 St.

Expect D/N/R delays in both directions.","What's Happening? 

We are removing debris from the track that caused a train's brakes to activate at 25 St.

Service Changes

The last stop on some downtown D trains will be 2 Av on the F line, where they will turn back for uptown service. 

Some downtown D trains are running via the F line from W 4 St-Wash Sq to Coney Island-Stillwell Av.

Listen to announcements on your train to hear how it will run. 

For service to/from bypassed stops, take an uptown train.

Expect delays on Coney Island-Stillwell Av-bound D F/N trains while they share the track with rerouted trains."
478221,234360,5,1/23/26,NYCT Subway,delays,D | N | R,D/N/R trains are running with delays in both directions after we removed debris from the track that activated a train's brakes at 25 St.,Coney Island-Stillwell Av-bound D/N and Bay Ridge-95 St-bound R trains have resumed making scheduled stops.
477966,234242,2,1/22/26,NYCT Subway,delays,D | N | R,Uptown D/N/R trains are running with delays after we removed a train with a mechanical problem from service at 36 St (Brooklyn).,Uptown R trains have resumed at local service from 59 St to Atlantic Av-Barclays Ctr.
477682,234108,2,1/21/26,NYCT Subway,reroute | delays,Q | R,Uptown R trains are rerouted via the Q line from DeKalb Av to Canal St.,"What's Happening?

We've requested NYPD assistance for someone being disruptive on a train at Court St.

For service to/from bypassed stations, take a downtown R train. 

Expect delays in Q service while they share the tracks with rerouted trains."
477689,234108,3,1/21/26,NYCT Subway,delays,R,Uptown R trains are running with delays after NYPD assisted with someone being disruptive and we removed a train from service at Court St.,Uptown R trains have resumed making scheduled stops from DeKalb Av to Canal St.
477630,234084,1,1/21/26,NYCT Subway,express-to-local | delays,N | Q | R | W,"Downtown N/Q trains are running local from Times Sq-42 St to Canal St, then via the R to DeKalb Av.","What's Happening?
We're investigating why a train's brakes activated near Canal St.

Expect downtown R/W delays while they share tracks with rerouted trains."
477635,234084,2,1/21/26,NYCT Subway,delays,N | Q | R | W,Downtown N/Q/R/W trains are running with delays after we removed debris from the track near Canal St.,Downtown N/Q trains have resumed express service from Times Sq-42 St to Canal St and regular service from Manhattan to Brooklyn.
477521,234021,2,1/21/26,NYCT Subway,delays,R,R trains are running with delays in both directions after we replaced rails near DeKalb Av.,"R trains have resumed service between Atlantic Av-Barclays Ctr and Whitehall St-South Ferry.
R trains have resumed making scheduled stops in Brooklyn."
477378,233956,6,1/20/26,NYCT Subway,delays,N | R | W,N/R/W trains are running with delays in both directions after we repaired rails near Astoria-Ditmars Blvd.,"Some uptown R trains will run via B from DeKalb Av to 47-50 Sts-Rockefeller Ctr, then via Roosevelt Island to 21 St-Queensbridge
.
Some uptown N trains will run via R from DeKalb Av to Canal St
.
Listen to announcements to hear how your train will operate."
477161,233859,0,1/20/26,NYCT Subway,reroute | delays,N | Q | R,Downtown N/Q/R trains are delayed while a work train moves through the area near Lexington Av/59 St.,"Some downtown Q trains are running on the R line from Canal St to DeKalb Av.

Listen to announcements on board to hear how your train will run."
477163,233859,1,1/20/26,NYCT Subway,reroute | delays,D | N | Q | R,"Downtown N/Q/R trains are delayed.
Some downtown Q trains running via R line from Canal St to DeKalb Av.
Some downtown D trains local from DeKalb Av to 36 St (BK).","What's Happening?
A work train is moving through the area near Lexington Av/59 St.

Listen to announcements on board to hear how your train will run."
477166,233859,2,1/20/26,NYCT Subway,delays,N | Q | R,Downtown N/Q/R trains are running with delays after a work train moved through the area near Lexington Av/59 St.,Downtown D/Q trains have resumed making scheduled stops.
476775,233661,0,1/17/26,NYCT Subway,delays,Q | R,Uptown Q/R trains are delayed while we investigate what caused a train's brakes to activate at Cortlandt St.,"Planned Work Reminder

Uptown Q trains run via the R line from DeKalb Av to Canal St."
476628,233588,1,1/16/26,NYCT Subway,reroute | part-suspended,N | R | W,N/R/W service is disrupted between Manhattan and Queens in both directions while FDNY responds to a report of smoke near Lexington Av/59 St.,"Service Changes:

No N/W between 57 St/7 Av and Queensboro Plaza / Queens Plaza.

Uptown N/W trains will end at Times Sq-42 St or 96 St on the Q, where they will turn around for downtown service.

Downtown N/W trains will end at Queensboro Plaza, where they will turn around for Astoria-bound service.

R trains will run via the Q between 57 St/7 Av and Lexington Av/63 St, then  via Roosevelt Island to/from 21 St-Queensbridge in both directions.

Some downtown R trains will run via the F from Queens Plaza to W 4 St-Wash Sq, then via the B to DeKalb Av."
476629,233588,2,1/16/26,NYCT Subway,reroute | part-suspended,N | R | W,N/R/W service is disrupted between Manhattan and Queens in both directions while FDNY responds to a report of smoke near Lexington Av/59 St.,"Service Changes:

No N/R/W between 57 St/7 Av and Queensboro Plaza / Queens Plaza.

Uptown N/W trains will end at Times Sq-42 St or 96 St on the Q, where they will turn around for downtown service.

Downtown N/W trains will end at Queensboro Plaza, where they will turn around for Astoria-bound service.

R trains will run via the Q between 57 St/7 Av and Lexington Av/63 St, then via Roosevelt Island to/from 21 St-Queensbridge in both directions.

Some downtown R trains will run via the F from Queens Plaza to W 4 St-Wash Sq, then via the B to DeKalb Av."
